Olympic Village,OLV,1,TRUE,FALSE,FALSE,YRH-CAN-WFRONT:BCH-CAN-RICHBR:BCH-CAN-YVRA,49.266502,-123.11572,CAN
Patterson,PAT,2,TRUE,FALSE,FALSE,JCW-EXPO-WFRONT:MET-EXPO-KGEORGE:MET-EXPO-PWAYU,49.229765,-123.012651,EXPO
Production Way-University,PWU,2,TRUE,FALSE,TRUE,LCW-MILL-VCCCL:LTC-MILL-LLDOUG:LTC-EXPO-WFRONT,49.25342,-122.918197,EXPO:MILL
Renfrew,REN,1,TRUE,FALSE,FALSE,CMB-MILL-VCCCL:RUP-MILL-LLDOUG,49.258933,-123.045253,MILL
Richmond-Brighouse,RBG,2,TRUE,FALSE,FALSE,LDN-CAN-WFRONT,49.168118,-123.136297,CAN
Royal Oak,ROK,2,TRUE,FALSE,FALSE,EDM-EXPO-KGEORGE:EDM-EXPO-PWAYU:MET-EXPO-WFRONT,49.220077,-122.988497,EXPO
Rupert,RUP,1,TRUE,FALSE,FALSE,REN-MILL-VCCCL:GIL-MILL-LLDOUG,49.26082,-123.032892,MILL
Sapperton,SAP,2,TRUE,FALSE,FALSE,BRD-EXPO-PWAYU:COL-EXPO-WFRONT,49.224687,-122.889399,EXPO
Scott Road,SCR,3,TRUE,FALSE,FALSE,COL-EXPO-WFRONT:GTW-EXPO-KGEORGE,49.204432,-122.874198,EXPO
Sea Island Center,SEA,2,TRUE,FALSE,FALSE,YVR-CAN-YVRA:TPL-CAN-WFRONT,49.193027,-123.157972,CAN
Sperling-Burnaby Lake,SBL,2,TRUE,FALSE,FALSE,HOL-MILL-VCCCL:LCW-MILL-LLDOUG,49.259156,-122.963886,MILL
Stadium-Chinatown,SCT,1,TRUE,FALSE,FALSE,GVL-EXPO-WFRONT:MSW-EXPO-KGEORGE:MSW-EXPO-PWAYU,49.279281,-123.109137,EXPO
Surrey Central,SUR,3,TRUE,FALSE,FALSE,GTW-EXPO-WFRONT:KGG-EXPO-KGEORGE,49.189544,-122.847892,EXPO
Templeton,TPL,2,TRUE,FALSE,FALSE,SEA-CAN-YVRA:BRP-CAN-WFRONT,49.196718,-123.146424,CAN
Vancouver City Center,VAN,1,TRUE,FALSE,FALSE,WTF-CAN-WFRONT:YRH-CAN-RICHBR:YRH-CAN-YVRA,49.282493,-123.118522,CAN
VCC-Clark,VCC,1,TRUE,FALSE,FALSE,CMB-MILL-LLDOUG,49.265816,-123.078962,MILL
Waterfront,WTF,1,TRUE,FALSE,TRUE,BUR-EXPO-PWAYU:BUR-EXPO-KGEORGE:VAN-CAN-RICHBR:VAN-CAN-YVRA,49.285769,-123.111717,EXPO:CAN
Yaletown-Roundhouse,YRH,1,TRUE,FALSE,FALSE,VAN-CAN-WFRONT:OLV-CAN-RICHBR:OLV-CAN-YVRA,49.274516,-123.121873,CAN
YVR-Airport,YVR,2,TRUE,FALSE,FALSE,SEA-CAN-WFRONT,49.194251,-123.178215,CAN
